"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"3340","880006_2",2002,17.327,12,0,FALSE,NA,FALSE,0,FALSE,2167,17.327,NA,NA,NA,123689.1,0.0495866902428349,0,3,39.949,-75.1557,FALSE,FALSE,FALSE
"3341","880007_52",2002,84.528,12,0,FALSE,NA,FALSE,1,FALSE,7943.13,84.528,NA,NA,NA,1659671.05,0.581708769176299,0,3,40.0067,-75.0686,FALSE,FALSE,FALSE
"3342","880007_52",2014,81.287,12,0,FALSE,NA,FALSE,1,FALSE,7846.38,81.287,NA,NA,NA,1947528.48,0.584187560742295,0,3,40.0067,-75.0686,FALSE,FALSE,FALSE
"3343","880016_10001",2002,588.534,12,0,FALSE,NA,FALSE,1,FALSE,8715,588.534,NA,NA,907998,3098660.4,0.70727503716962,0,2,40.6333,-74.2028,FALSE,FALSE,FALSE
"3344","880016_10003",2002,101.674,12,0,FALSE,NA,FALSE,1,FALSE,8270,101.674,NA,NA,900323,3072357.8,0.701432623220783,0,2,40.6333,-74.2028,FALSE,FALSE,FALSE
"3345","880020_89",2002,98.697,12,0,FALSE,NA,FALSE,0,FALSE,7324.54,98.697,NA,NA,NA,1149645.6,0.298602273180604,0,3,39.8119,-75.424,FALSE,FALSE,FALSE
"3346","880023_K1",2002,129.872,12,0,FALSE,NA,FALSE,1,FALSE,5637.78,129.872,NA,NA,NA,1042182.132,0.23760418822566,0,1,42.35,-71.0583,FALSE,FALSE,FALSE
"3347","880023_K2",2002,167.399,12,0,FALSE,NA,FALSE,1,FALSE,7689.09,167.399,NA,NA,NA,1570896.57,0.358990941012572,0,1,42.35,-71.0583,FALSE,FALSE,FALSE
"3348","880023_K3",2002,95.977,12,0,FALSE,NA,FALSE,2,FALSE,8082.27,95.977,NA,NA,NA,1046087.74,0.198304511325882,0,1,42.35,-71.0583,FALSE,FALSE,FALSE
"3349","880023_K4",2002,44.926,12,0,FALSE,NA,FALSE,1,FALSE,2643.96,44.926,NA,NA,NA,384835.953,0.088303367329646,0,1,42.35,-71.0583,FALSE,FALSE,FALSE
